Time(s)                  AngVel-x(rad/s)          AngVel-y(rad/s)          AngVel-z(rad/s)          Ref.AngVelX(rad/s)       Ref.AngVelY(rad/s)       Ref.AngVelZ(rad/s)       Err.AngVelX(rad/s)       Err.AngVelY(rad/s)       Err.AngVelZ(rad/s)       Rot.Angle(deg)           Prof.Angle(deg)          Prof.w(rad/s)            Prof.e(rad/s^2)          
0.182911                 0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
0.326709                 -0.325963                2.06488                  0.0971012                0                        0                        0                        0                        0                        0                        0.0974665                0                        0                        0                        
0.486599                 -0.0122255               0.0360993                0.000670743              0                        0                        0                        0                        0                        0                        0.0462375                0                        0                        0                        
0.646565                 -0.00280576              0.000700573              -0.00100837              0                        0                        0                        0                        0                        0                        0.0371994                0                        0                        0                        
0.774544                 -0.285478                0.00133663               -8.54775e-07             0                        0                        0                        0                        0                        0                        2.16714                  0                        0                        0                        
0.934123                 -0.00172565              0.0042913                0.00209786               0                        0                        0                        0                        0                        0                        2.13507                  0                        0                        0                        
1.09401                  0.0112373                0.00752109               0.00422598               0                        0                        0                        0                        0                        0                        2.03242                  0                        0                        0                        
1.23787                  -0.0117431               0.0119199                0.00590126               0                        0                        0                        0                        0                        0                        2.14253                  0                        0                        0                        
1.38181                  -0.0242957               0.0167696                0.00597083               0                        0                        0                        0                        0                        0                        2.36289                  0                        0                        0                        
1.5415                   -0.0202803               0.0227944                0.00540971               0                        0                        0                        0                        0                        0                        2.58482                  0                        0                        0                        
1.6854                   -0.0210352               0.0312994                0.00254965               0                        0                        0                        0                        0                        0                        2.81863                  0                        0                        0                        
1.84519                  -0.0208553               0.0284404                8.90447e-05              0                        0                        0                        0                        0                        0                        3.08153                  0                        0                        0                        
1.97311                  -0.0036403               0.0378125                -0.00503916              0                        0                        0                        0                        0                        0                        3.20612                  0                        0                        0                        
2.13293                  0.0012068                0.0382186                -0.00527231              0                        0                        0                        0                        0                        0                        3.3555                   0                        0                        0                        
2.29256                  0.0211764                0.0329205                -0.00937421              0                        0                        0                        0                        0                        0                        3.35409                  0                        0                        0                        
2.43671                  0.0234239                0.0422012                -0.0137357               0                        0                        0                        0                        0                        0                        3.42998                  0                        0                        0                        
2.58049                  0.0159097                0.0402293                -0.0138285               0                        0                        0                        0                        0                        0                        3.58083                  0                        0                        0                        
2.74028                  0.0188621                0.0308554                -0.00934124              0                        0                        0                        0                        0                        0                        3.69477                  0                        0                        0                        
2.88392                  0.00813324               0.0316309                -0.00452721              0                        0                        0                        0                        0                        0                        3.87347                  0                        0                        0                        
3.02784                  -0.00646356              0.0315425                -0.000961936             0                        0                        0                        0                        0                        0                        4.12295                  0                        0                        0                        
3.18798                  -0.0129505               0.0251209                0.00538569               0                        0                        0                        0                        0                        0                        4.37814                  0                        0                        0                        
3.33158                  -0.0199624               0.0195474                0.00600628               0                        0                        0                        0                        0                        0                        4.59945                  0                        0                        0                        
3.47539                  -0.0163284               0.0205289                0.0117199                0                        0                        0                        0                        0                        0                        4.81213                  0                        0                        0                        
3.63536                  -0.0104866               0.0131857                0.0096201                0                        0                        0                        0                        0                        0                        4.96415                  0                        0                        0                        
3.77906                  -0.00533313              0.0121445                0.00947649               0                        0                        0                        0                        0                        0                        5.07229                  0                        0                        0                        
3.93883                  0.00322764               0.0109239                0.00749841               0                        0                        0                        0                        0                        0                        5.14189                  0                        0                        0                        
4.08262                  0.0104706                0.00736749               0.00367315               0                        0                        0                        0                        0                        0                        5.14831                  0                        0                        0                        
4.22652                  0.0205245                0.00845292               0.0012912                0                        0                        0                        0                        0                        0                        5.12416                  0                        0                        0                        
4.38636                  0.0185511                0.0044722                -0.00307775              0                        0                        0                        0                        0                        0                        5.07932                  0                        0                        0                        
4.53017                  0.0102178                0.00373978               -0.00694832              0                        0                        0                        0                        0                        0                        5.06799                  0                        0                        0                        
4.67386                  0.00421353               0.0013828                -0.00823676              0                        0                        0                        0                        0                        0                        5.06156                  0                        0                        0                        
4.83386                  0.000157601              0.000104504              -0.00641447              0                        0                        0                        0                        0                        0                        5.06109                  0                        0                        0                        
4.97777                  -0.00558323              -0.0011061               -0.00593292              0                        0                        0                        0                        0                        0                        5.07299                  0                        0                        0                        
