Start                    End                      Duration[ms]             TaskName                 TaskID                   CurrState                NextState                
4.574e-06                7e-06                    0.002426                 TaskCoord                0                        Initializing             Initializing             
0.00019474               0.000199666              0.004926                 AltitudeCntrl            1                        Initializing             IniMotion                
0.0781989                0.113648                 35.4495                  AltitudeCntrl            1                        IniMotion                DeterminingAlt           
0.127169                 0.127172                 0.002297                 TaskCoord                0                        Initializing             Initializing             
0.159249                 0.183256                 24.0072                  AltitudeCntrl            1                        DeterminingAlt           IniMotion                
0.196181                 0.196183                 0.002297                 TaskCoord                0                        Initializing             Initializing             
0.231175                 0.269647                 38.4726                  AltitudeCntrl            1                        IniMotion                DeterminingAlt           
0.281207                 0.281209                 0.002333                 TaskCoord                0                        Initializing             Initializing             
0.305189                 0.327058                 21.869                   AltitudeCntrl            1                        DeterminingAlt           IniMotion                
0.338203                 0.338205                 0.002352                 TaskCoord                0                        Initializing             Initializing             
0.385196                 0.418725                 33.5295                  AltitudeCntrl            1                        IniMotion                DeterminingAlt           
0.430312                 0.430314                 0.002537                 TaskCoord                0                        Initializing             Initializing             
0.455199                 0.486966                 31.7666                  AltitudeCntrl            1                        DeterminingAlt           IniMotion                
0.498216                 0.498218                 0.002241                 TaskCoord                0                        Initializing             Initializing             
0.534235                 0.572752                 38.5175                  AltitudeCntrl            1                        IniMotion                DeterminingAlt           
0.585333                 0.585337                 0.003963                 TaskCoord                0                        Initializing             Initializing             
0.611252                 0.646914                 35.6616                  AltitudeCntrl            1                        DeterminingAlt           IniMotion                
0.659338                 0.659342                 0.00313                  TaskCoord                0                        Initializing             Initializing             
0.681285                 0.715682                 34.3964                  AltitudeCntrl            1                        IniMotion                DeterminingAlt           
0.728283                 0.728286                 0.002593                 TaskCoord                0                        Initializing             Initializing             
0.751235                 0.774901                 23.6658                  AltitudeCntrl            1                        DeterminingAlt           IniMotion                
0.810241                 0.810244                 0.002389                 TaskCoord                0                        Initializing             Initializing             
0.833268                 0.870726                 37.4582                  AltitudeCntrl            1                        IniMotion                DeterminingAlt           
0.88721                  0.887213                 0.002463                 TaskCoord                0                        Initializing             Initializing             
0.909696                 0.934464                 24.7676                  AltitudeCntrl            1                        DeterminingAlt           IniMotion                
0.969715                 0.969718                 0.002574                 TaskCoord                0                        Initializing             Initializing             
0.980664                 1.01864                  37.9708                  AltitudeCntrl            1                        IniMotion                DeterminingAlt           
1.04667                  1.04668                  0.002537                 TaskCoord                0                        Initializing             Initializing             
1.05867                  1.09436                  35.6996                  AltitudeCntrl            1                        DeterminingAlt           IniMotion                
1.12768                  1.12768                  0.002722                 TaskCoord                0                        Initializing             Initializing             
1.12779                  1.16477                  36.9824                  AltitudeCntrl            1                        IniMotion                DeterminingAlt           
1.20374                  1.20374                  0.0025                   TaskCoord                0                        Initializing             Initializing             
1.20387                  1.23823                  34.3521                  AltitudeCntrl            1                        DeterminingAlt           IniMotion                
1.28463                  1.28463                  0.00363                  TaskCoord                0                        Initializing             Initializing             
1.28484                  1.3216                   36.7574                  AltitudeCntrl            1                        IniMotion                DeterminingAlt           
1.35876                  1.38217                  23.4113                  AltitudeCntrl            1                        DeterminingAlt           IniMotion                
1.3937                   1.3937                   0.002407                 TaskCoord                0                        Initializing             Initializing             
1.42571                  1.4637                   37.9901                  AltitudeCntrl            1                        IniMotion                DeterminingAlt           
1.47674                  1.47674                  0.002296                 TaskCoord                0                        Initializing             Initializing             
1.51172                  1.54185                  30.1262                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
1.55372                  1.55372                  0.002371                 TaskCoord                0                        Initializing             Initializing             
1.57783                  1.6128                   34.9669                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
1.62381                  1.62382                  0.003908                 TaskCoord                0                        Initializing             Initializing             
1.65675                  1.68583                  29.0759                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
1.69975                  1.69975                  0.002333                 TaskCoord                0                        Initializing             Initializing             
1.73382                  1.77089                  37.0698                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
1.78485                  1.78486                  0.00237                  TaskCoord                0                        Initializing             Initializing             
1.80977                  1.84555                  35.7837                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
1.85671                  1.85672                  0.002445                 TaskCoord                0                        Initializing             Initializing             
1.88078                  1.91597                  35.1859                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
1.92685                  1.92685                  0.002648                 TaskCoord                0                        Initializing             Initializing             
1.95088                  1.97349                  22.6165                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
2.01076                  2.01076                  0.002259                 TaskCoord                0                        Initializing             Initializing             
2.03273                  2.06984                  37.1077                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
2.08177                  2.08177                  0.002834                 TaskCoord                0                        Initializing             Initializing             
2.10094                  2.13329                  32.3449                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
2.16681                  2.16682                  0.002315                 TaskCoord                0                        Initializing             Initializing             
2.18177                  2.21667                  34.8992                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
2.24474                  2.24475                  0.002852                 TaskCoord                0                        Initializing             Initializing             
2.25588                  2.29295                  37.0754                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
2.32776                  2.32777                  0.002463                 TaskCoord                0                        Initializing             Initializing             
2.32789                  2.36273                  34.8396                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
2.40576                  2.40576                  0.002408                 TaskCoord                0                        Initializing             Initializing             
2.40589                  2.43712                  31.2212                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
2.48076                  2.48076                  0.002351                 TaskCoord                0                        Initializing             Initializing             
2.48088                  2.51772                  36.8449                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
2.55382                  2.58086                  27.0377                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
2.5927                   2.5927                   0.002407                 TaskCoord                0                        Initializing             Initializing             
2.62671                  2.66233                  35.6228                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
2.67578                  2.67579                  0.002945                 TaskCoord                0                        Initializing             Initializing             
2.70478                  2.74065                  35.866                   AltitudeCntrl            1                        DeterminingAlt           Detumbling               
2.75178                  2.75178                  0.002463                 TaskCoord                0                        Initializing             Initializing             
2.7779                   2.81621                  38.3123                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
2.83093                  2.83093                  0.002241                 TaskCoord                0                        Initializing             Initializing             
2.85591                  2.8843                   28.3934                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
2.89695                  2.89695                  0.003093                 TaskCoord                0                        Initializing             Initializing             
2.9371                   2.97693                  39.8345                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
2.992                    2.99201                  0.002444                 TaskCoord                0                        Initializing             Initializing             
3.00609                  3.02827                  22.1774                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
3.04099                  3.041                    0.003574                 TaskCoord                0                        Initializing             Initializing             
3.078                    3.11391                  35.9094                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
3.1262                   3.1262                   0.002685                 TaskCoord                0                        Initializing             Initializing             
3.15198                  3.18838                  36.4046                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
3.20096                  3.20096                  0.002333                 TaskCoord                0                        Initializing             Initializing             
3.2262                   3.26419                  37.986                   AltitudeCntrl            1                        Detumbling               DeterminingAlt           
3.29211                  3.29212                  0.0025                   TaskCoord                0                        Initializing             Initializing             
3.30522                  3.33255                  27.3355                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
3.36697                  3.36698                  0.002648                 TaskCoord                0                        Initializing             Initializing             
3.38002                  3.41685                  36.837                   AltitudeCntrl            1                        Detumbling               DeterminingAlt           
3.45216                  3.45217                  0.002481                 TaskCoord                0                        Initializing             Initializing             
3.4523                   3.4758                   23.5043                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
3.52519                  3.5252                   0.00263                  TaskCoord                0                        Initializing             Initializing             
3.52533                  3.565                    39.6689                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
3.60319                  3.60319                  0.002352                 TaskCoord                0                        Initializing             Initializing             
3.60333                  3.63573                  32.3967                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
3.68714                  3.68715                  0.00237                  TaskCoord                0                        Initializing             Initializing             
3.68728                  3.72498                  37.6978                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
3.75209                  3.77943                  27.3348                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
3.79113                  3.79114                  0.002352                 TaskCoord                0                        Initializing             Initializing             
3.82508                  3.85989                  34.8146                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
3.87207                  3.87208                  0.004352                 TaskCoord                0                        Initializing             Initializing             
3.91008                  3.93919                  29.1176                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
3.95107                  3.95107                  0.002315                 TaskCoord                0                        Initializing             Initializing             
3.97708                  4.01295                  35.8709                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
4.02621                  4.02621                  0.002463                 TaskCoord                0                        Initializing             Initializing             
4.05114                  4.08298                  31.8345                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
4.09613                  4.09613                  0.002556                 TaskCoord                0                        Initializing             Initializing             
4.13219                  4.16703                  34.8417                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
4.17914                  4.17914                  0.003908                 TaskCoord                0                        Initializing             Initializing             
4.2043                   4.22688                  22.572                   AltitudeCntrl            1                        DeterminingAlt           Detumbling               
4.25211                  4.25211                  0.002389                 TaskCoord                0                        Initializing             Initializing             
4.27511                  4.31203                  36.9208                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
4.3242                   4.3242                   0.0025                   TaskCoord                0                        Initializing             Initializing             
4.36214                  4.38671                  24.5767                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
4.41216                  4.41216                  0.00263                  TaskCoord                0                        Initializing             Initializing             
4.43517                  4.47004                  34.8656                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
4.48225                  4.48225                  0.002833                 TaskCoord                0                        Initializing             Initializing             
4.50825                  4.53052                  22.2738                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
4.56615                  4.56615                  0.002537                 TaskCoord                0                        Initializing             Initializing             
4.57916                  4.61597                  36.8079                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
4.64138                  4.64138                  0.002537                 TaskCoord                0                        Initializing             Initializing             
4.65125                  4.67422                  22.9745                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
4.72022                  4.72022                  0.002278                 TaskCoord                0                        Initializing             Initializing             
4.73121                  4.76723                  36.0175                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
4.80329                  4.80329                  0.003222                 TaskCoord                0                        Initializing             Initializing             
4.80344                  4.83428                  30.8471                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
4.8792                   4.91712                  37.9155                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
4.92736                  4.92737                  0.002908                 TaskCoord                0                        Initializing             Initializing             
4.95324                  4.97812                  24.8847                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
4.9902                   4.9902                   0.002259                 TaskCoord                0                        Initializing             Initializing             
5.02824                  5.06401                  35.7705                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
5.07925                  5.07926                  0.0035                   TaskCoord                0                        Initializing             Initializing             
5.10027                  5.12174                  21.4724                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
5.13321                  5.13321                  0.002426                 TaskCoord                0                        Initializing             Initializing             
5.18022                  5.22547                  45.2478                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
5.23921                  5.23921                  0.002555                 TaskCoord                0                        Initializing             Initializing             
5.25226                  5.28322                  30.9618                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
5.29434                  5.29434                  0.002648                 TaskCoord                0                        Initializing             Initializing             
5.33449                  5.3736                   39.1065                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
5.38746                  5.38747                  0.002963                 TaskCoord                0                        Initializing             Initializing             
5.40257                  5.42574                  23.1732                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
5.45427                  5.45427                  0.002685                 TaskCoord                0                        Initializing             Initializing             
5.47956                  5.51897                  39.4061                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
