Time (s)                 HomePos (deg)            StartingPos (deg)        RefPos (deg)             TorpPos (deg)            RefVel (rpm)             TorpVel (rpm)            MotorPos (deg)           MotorVel (rpm)           PositionErr (deg)        DesVelCmd (rpm)          
86.1669                  0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
86.1928                  0                        0                        0.000331793              5.175                    0.00421319               13.1427                  168.574                  1                        -5.17467                 -0.283268                
86.2769                  0                        0                        0.0160451                5.175                    0.0311772                13.1427                  164.355                  -12                      -5.15895                 -0.255431                
86.3478                  0                        0                        0.0383914                5.175                    0.0535166                13.1427                  161.016                  -10                      -5.13661                 -0.231851                
86.4239                  0                        0                        0.0738123                4.95                     0.0778565                13.0438                  157.676                  -10                      -4.87619                 -0.193043                
86.5058                  0                        0                        0.126555                 4.95                     0.104785                 13.0438                  153.984                  -2                       -4.82344                 -0.163184                
86.5849                  0                        0                        0.185747                 4.725                    0.12928                  -0.197196                152.402                  -11                      -4.53925                 -0.1229                  
86.6549                  0                        0                        0.246848                 4.725                    0.150938                 -0.197196                152.402                  -6                       -4.47815                 -0.0978482               
86.7288                  0                        0                        0.329072                 4.725                    0.17594                  -0.197196                152.578                  -6                       -4.39593                 -0.0682778               
86.795                   0                        0                        0.40707                  4.725                    0.197111                 -0.0982845               153.281                  4                        -4.31793                 -0.0427742               
86.87                    0                        0                        0.50769                  4.725                    0.221423                 -0.0982845               151.523                  -7                       -4.21731                 -0.0128725               
86.9358                  0                        0                        0.607349                 4.725                    0.243334                 0                        151.523                  -6                       -4.11765                 0.0145755                
87.0099                  0                        0                        0.72192                  4.725                    0.266347                 0                        148.711                  5                        -4.00308                 0.0439538                
87.0829                  0                        0                        0.847791                 4.5                      0.2896                   -0.103534                147.656                  5                        -3.65221                 0.0866998                
87.1589                  0                        0                        0.990121                 4.725                    0.313861                 -0.00430179              149.941                  2                        -3.73488                 0.106368                 
87.2249                  0                        0                        1.12681                  4.725                    0.335648                 -0.00430179              150.469                  0                        -3.59819                 0.135749                 
87.2991                  0                        0                        1.28324                  4.725                    0.358963                 -0.00430179              150.996                  -2                       -3.44176                 0.167754                 
87.3699                  0                        0                        1.44674                  4.725                    0.38187                  -0.00430179              152.578                  5                        -3.27826                 0.199744                 
87.4481                  0                        0                        1.63505                  4.725                    0.406644                 0.0992327                153.457                  4                        -3.08995                 0.23498                  
87.5139                  0                        0                        1.80599                  4.725                    0.428011                 0                        155.215                  4                        -2.91901                 0.265844                 
87.589                   0                        0                        2.0068                   4.95                     0.451791                 0.101241                 159.434                  12                       -2.9432                  0.28828                  
87.6571                  0                        0                        2.20623                  5.175                    0.474286                 0.208265                 164.531                  17                       -2.96877                 0.309354                 
87.7289                  0                        0                        2.42004                  5.4                      0.497289                 0.312928                 171.211                  16                       -2.97996                 0.331735                 
87.7689                  0                        0                        2.54179                  5.4                      0.510059                 0.312928                 172.793                  20                       -2.85821                 0.351269                 
87.8319                  0                        0                        2.74604                  5.625                    0.530652                 0.429836                 176.133                  10                       -2.87896                 0.37071                  
87.9101                  0                        0                        2.9965                   5.625                    0.554804                 0.328594                 176.484                  6                        -2.6285                  0.408776                 
87.977                   0                        0                        3.2333                   5.625                    0.576769                 0.221571                 179.473                  6                        -2.3917                  0.443897                 
88.0489                  0                        0                        3.50961                  5.85                     0.643                    0.221628                 185.801                  25                       -2.34039                 0.512978                 
88.1369                  0                        0                        3.85035                  6.075                    0.643                    0.306546                 194.062                  20                       -2.22465                 0.519408                 
88.219                   0                        0                        4.16124                  6.3                      0.643                    0.282708                 198.633                  19                       -2.13876                 0.52418                  
88.2979                  0                        0                        4.4666                   6.3                      0.643                    0.282708                 203.906                  5                        -1.8334                  0.541145                 
