Time (s)                 ProfilePos (deg)         ProfileVel (rpm)         ProfileAcc (rpm/s)       
86.0989                  0                        0                        0                        
86.1358                  0                        0                        0                        
86.1486                  0                        0                        0                        
86.1607                  0                        0                        0                        
86.1738                  0                        0                        0                        
86.2579                  0                        0                        0                        
86.3275                  0                        0                        0                        
86.4019                  0                        0                        0                        
86.4872                  0                        0                        0                        
86.5621                  0                        0                        0                        
86.631                   0                        0                        0                        
86.7088                  0                        0                        0                        
86.7748                  0                        0                        0                        
86.8491                  0                        0                        0                        
86.9188                  0                        0                        0                        
86.9905                  0                        0                        0                        
87.0629                  0                        0                        0                        
87.1385                  0                        0                        0                        
87.2064                  0                        0                        0                        
87.279                   0                        0                        0                        
87.3504                  0                        0                        0                        
87.4275                  0                        0                        0                        
87.4941                  0                        0                        0                        
87.5681                  0                        0                        0                        
87.6383                  0                        0                        0                        
87.7099                  0                        0                        0                        
87.7497                  0                        0                        0                        
87.8139                  0                        0                        0                        
87.889                   0                        0                        0                        
87.9575                  0                        0                        0                        
88.0291                  0                        0                        0                        
88.1175                  0                        0                        0                        
88.198                   0                        0                        0                        
88.2772                  0                        0                        0                        
88.3526                  0                        0                        0                        
88.421                   0                        0                        0                        
88.5053                  0                        0                        0                        
88.581                   0                        0                        0                        
88.6532                  0                        0                        0                        
88.7247                  0                        0                        0                        
88.7981                  0                        0                        0                        
88.8691                  0                        0                        0                        
88.9402                  0                        0                        0                        
89.0123                  0                        0                        0                        
89.0873                  0                        0                        0                        
89.1562                  0                        0                        0                        
89.2292                  0                        0                        0                        
89.3                     0                        0                        0                        
89.3768                  0                        0                        0                        
89.444                   0                        0                        0                        
89.5204                  0                        0                        0                        
89.5879                  0                        0                        0                        
89.6643                  0                        0                        0                        
89.7316                  0                        0                        0                        
89.7715                  0                        0                        0                        
89.8473                  0                        0                        0                        
89.9235                  0                        0                        0                        
89.9995                  0                        0                        0                        
90.0672                  0                        0                        0                        
90.1483                  0                        0                        0                        
90.2273                  0                        0                        0                        
90.3025                  0                        0                        0                        
90.3709                  0                        0                        0                        
90.4466                  0                        0                        0                        
90.5148                  0                        0                        0                        
90.5875                  0                        0                        0                        
90.6587                  0                        0                        0                        
90.7375                  0                        0                        0                        
