Time(s)                  TorqueX(Nm)              XWheelVelCmd(rpm)        XWheelVelAct(rpm)        TorqueY(Nm)              YWheelVelCmd(rpm)        YWheelVelAct(rpm)        TorqueZ(Nm)              ZWheelVelCmd(rpm)        ZWheelVelAct(rpm)        
0.113411                 0.0368                   -753                     -42                      0.0368                   -753                     -28                      -0.0368                  -753                     -35                      
0.269441                 0.0368                   -2230                    -966                     0.0368                   -2230                    -982                     -0.0368                  -2230                    -979                     
0.418466                 0.0368                   -3717                    -2082                    0.0368                   -3717                    -2090                    -0.0368                  -3717                    -2083                    
0.572524                 0                        -3717                    -3147                    0                        -3717                    -3149                    0                        -3717                    -3175                    
0.715481                 0                        -3717                    -4021                    0                        -3717                    -4023                    0                        -3717                    -4042                    
0.870508                 0                        -3717                    -3849                    0                        -3717                    -3850                    0                        -3717                    -3846                    
1.01842                  0                        -3717                    -3732                    0                        -3717                    -3733                    0                        -3717                    -3732                    
1.16455                  0                        -3717                    -3719                    0                        -3717                    -3719                    0                        -3717                    -3718                    
1.3214                   0                        -3717                    -3718                    0                        -3717                    -3718                    0                        -3717                    -3717                    
1.46347                  0                        -3717                    -3717                    0                        -3717                    -3717                    0                        -3717                    -3717                    
1.61249                  0.00354905               -3823                    -3729                    -0.00455889              -3580                    -3702                    -0.00270485              -3798                    -3726                    
1.77066                  0.00368117               -3973                    -3854                    -0.00625987              -3323                    -3531                    -0.00127482              -3850                    -3814                    
1.91568                  0.00364968               -4113                    -4007                    -0.00568809              -3103                    -3268                    -4.45224e-05             -3851                    -3857                    
2.06954                  0.000637053              -4138                    -4135                    -0.0075625               -2801                    -3034                    0.00251958               -3750                    -3839                    
2.21644                  -0.000211189             -4129                    -4143                    -0.00764371              -2502                    -2730                    0.00263615               -3646                    -3727                    
2.36246                  -0.00370587              -3986                    -4113                    -0.00658411              -2249                    -2433                    0.0046871                -3466                    -3612                    
2.51751                  -0.00409918              -3821                    -3949                    -0.00844024              -1910                    -2168                    0.00686786               -3190                    -3406                    
2.66144                  -0.00278419              -3714                    -3789                    -0.00804586              -1602                    -1832                    0.00691424               -2925                    -3125                    
2.81598                  -0.00330087              -3583                    -3680                    -0.00617108              -1357                    -1527                    0.00467062               -2739                    -2863                    
2.9767                   -0.00142332              -3523                    -3557                    -0.00632618              -1092                    -1290                    0.00226361               -2644                    -2701                    
3.11367                  0.00113112               -3564                    -3518                    -0.0063085               -858                     -1025                    0.000480968              -2626                    -2626                    
3.26395                  0.00226634               -3652                    -3578                    -0.00502418              -662                     -803                     -0.00269285              -2730                    -2632                    
3.41663                  0.00349341               -3793                    -3681                    -0.00390948              -504                     -615                     -0.00300314              -2851                    -2757                    
3.56476                  0.00285747               -3901                    -3828                    -0.00410578              -347                     -460                     -0.00585996              -3074                    -2897                    
3.72468                  0.00183515               -3979                    -3926                    -0.00263715              -234                     -312                     -0.00481005              -3278                    -3129                    
3.85967                  0.000933298              -4012                    -3995                    -0.0024289               -146                     -208                     -0.00473824              -3449                    -3324                    
4.01273                  -0.000564837             -3989                    -4015                    -0.00218478              -58                      -122                     -0.0037492               -3598                    -3493                    
4.16679                  -0.00183236              -3914                    -3979                    -0.0014735               1                        -42                      -0.00183658              -3672                    -3626                    
4.31181                  -0.00359179              -3779                    -3887                    -0.00169058              64                       15                       -0.000645599             -3696                    -3688                    
4.46982                  -0.00324644              -3642                    -3747                    -0.000894441             101                      75                       0.00153887               -3631                    -3694                    
4.61574                  -0.00178812              -3574                    -3615                    -0.000747956             129                      110                      0.00347416               -3499                    -3607                    
4.76693                  -0.000737368             -3544                    -3559                    -0.00027656              140                      134                      0.00411838               -3334                    -3460                    
4.9169                   -2.75803e-05             -3542                    -3539                    -2.09008e-05             140                      142                      0.00320724               -3209                    -3295                    
5.06378                  0.000977064              -3580                    -3546                    0.00022122               131                      139                      0.00296646               -3092                    -3176                    
5.22524                  0.00379396               -3731                    -3620                    0.000237674              121                      128                      0.00123726               -3042                    -3066                    
5.37335                  0.00170175               -3799                    -3759                    0.000431395              103                      117                      -0.000490779             -3061                    -3036                    
5.51861                  -1.97923e-05             -3798                    -3809                    0.00049404               84                       98                       -0.00232392              -3149                    -3075                    
5.67049                  0.00133136               -3852                    -3805                    0.000444792              65                       80                       -0.00264918              -3257                    -3170                    
5.81844                  0.00141873               -3906                    -3865                    0.00071985               37                       59                       -0.00234671              -3346                    -3282                    
5.96531                  -0.00226316              -3818                    -3902                    0.000452528              19                       32                       -0.00319332              -3469                    -3374                    
6.12655                  -0.00229136              -3722                    -3797                    0.000225562              9                        14                       -0.00109651              -3514                    -3491                    
6.27519                  -0.00427811              -3554                    -3691                    0.000535326              -11                      8                        -0.000669231             -3540                    -3525                    
6.42235                  -0.000219825             -3545                    -3532                    0.000216546              -18                      -15                      0.00156142               -3482                    -3536                    
6.56144                  4.46082e-05              -3546                    -3539                    0.000468233              -36                      -19                      0.00236236               -3389                    -3467                    
