Time (s)                 HomePos (deg)            StartingPos (deg)        RefPos (deg)             TorpPos (deg)            RefVel (rpm)             TorpVel (rpm)            MotorPos (deg)           MotorVel (rpm)           PositionErr (deg)        DesVelCmd (rpm)          
86.1736                  0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
86.2116                  0                        0                        -0.00129425              -1.125                   -0.00832119              -1.44661                 -41.4844                 -1                       1.12371                  0.02394                  
86.2969                  0                        0                        -0.0191467               -0.9                     -0.0353442               -1.35752                 -40.7812                 1                        0.880853                 -0.0080798               
86.3667                  0                        0                        -0.0438468               -0.9                     -0.0580918               -1.35752                 -39.9023                 3                        0.856153                 -0.0301003               
86.4518                  0                        0                        -0.0815345               -0.9                     -0.0825245               -1.35752                 -40.2539                 -4                       0.818466                 -0.0540825               
86.5237                  0                        0                        -0.134976                -1.125                   -0.108803                -1.44913                 -41.1328                 -2                       0.990024                 -0.0737361               
86.6058                  0                        0                        -0.198696                -1.125                   -0.134204                -0.00252543              -42.7148                 -1                       0.926304                 -0.0991258               
86.6747                  0                        0                        -0.264524                -1.125                   -0.156682                -0.0916161               -44.1211                 -2                       0.860476                 -0.122018                
86.7528                  0                        0                        -0.344557                -1.125                   -0.180415                -0.0916161               -47.1094                 -7                       0.780443                 -0.146527                
86.8147                  0                        0                        -0.42461                 -1.35                    -0.201653                -0.204971                -50.0977                 -7                       0.92539                  -0.162374                
86.8889                  0                        0                        -0.526154                -1.35                    -0.225721                -0.113355                -53.0859                 -5                       0.823846                 -0.187821                
86.9558                  0                        0                        -0.623657                -1.575                   -0.246853                -0.227283                -54.8438                 -5                       0.951343                 -0.203929                
87.0318                  0                        0                        -0.744025                -1.575                   -0.270646                -0.227283                -56.9531                 -5                       0.830975                 -0.229591                
87.1027                  0                        0                        -0.872869                -1.575                   -0.294086                -0.227283                -58.8867                 -4                       0.702131                 -0.255419                
87.1788                  0                        0                        -1.01805                 -1.8                     -0.318474                -0.212642                -62.9297                 -7                       0.781951                 -0.276185                
87.2427                  0                        0                        -1.15231                 -1.8                     -0.339625                -0.212642                -66.2695                 -9                       0.647685                 -0.300087                
87.32                    0                        0                        -1.31422                 -2.025                   -0.363457                -0.199733                -70.1367                 -9                       0.710779                 -0.320875                
87.3898                  0                        0                        -1.47836                 -2.025                   -0.386195                -0.199733                -74.1797                 -10                      0.546641                 -0.34727                 
87.4698                  0                        0                        -1.67135                 -2.25                    -0.411299                -0.295636                -79.8047                 -13                      0.578649                 -0.370402                
87.5339                  0                        0                        -1.84199                 -2.475                   -0.43241                 -0.310957                -85.2539                 -13                      0.633014                 -0.38902                 
87.6089                  0                        0                        -2.04769                 -2.7                     -0.456518                -0.410824                -90                      -11                      0.652306                 -0.411451                
87.6769                  0                        0                        -2.24318                 -2.7                     -0.47838                 -0.309805                -94.3945                 -11                      0.456816                 -0.438011                
87.7494                  0                        0                        -2.45932                 -2.925                   -0.50144                 -0.414206                -98.9648                 -10                      0.465682                 -0.460032                
87.7898                  0                        0                        -2.58268                 -2.925                   -0.514274                -0.318304                -101.602                 -12                      0.34232                  -0.475962                
87.8519                  0                        0                        -2.7846                  -3.15                    -0.534485                -0.323386                -107.578                 -18                      0.365404                 -0.494996                
87.9341                  0                        0                        -3.04726                 -3.6                     -0.559597                -0.41526                 -117.246                 -20                      0.552738                 -0.513835                
87.996                   0                        0                        -3.28034                 -3.825                   -0.581057                -0.527446                -124.102                 -18                      0.544664                 -0.534706                
88.085                   0                        0                        -3.55808                 -4.05                    -0.643                   -0.527224                -130.605                 -14                      0.491923                 -0.597096                
88.1571                  0                        0                        -3.89758                 -4.05                    -0.643                   -0.527224                -137.637                 -14                      0.152416                 -0.606267                
88.2391                  0                        0                        -4.21403                 -4.5                     -0.643                   -0.590982                -147.48                  -22                      0.285971                 -0.602002                
88.318                   0                        0                        -4.51866                 -4.725                   -0.643                   -0.494225                -157.324                 -20                      0.206341                 -0.60383                 
88.3902                  0                        0                        -4.80443                 -5.175                   -0.643                   -0.584543                -166.641                 -22                      0.370569                 -0.598636                
88.4641                  0                        0                        -5.06644                 -5.4                     -0.643                   -0.590797                -175.254                 -21                      0.333555                 -0.599086                
88.5454                  0                        0                        -5.39463                 -5.625                   -0.643                   -0.678963                -183.164                 -17                      0.230368                 -0.601509                
88.6191                  0                        0                        -5.67995                 -5.85                    -0.643                   -0.597499                -189.844                 -18                      0.170045                 -0.602888                
88.6973                  0                        0                        -5.97355                 -6.075                   -0.643                   -0.60107                 -197.754                 -19                      0.101453                 -0.604607                
88.7621                  0                        0                        -6.24305                 -6.3                     -0.643                   -0.505931                -206.895                 -22                      0.0569528                -0.605756                
88.8382                  0                        0                        -6.52893                 -6.75                    -0.643                   -0.597926                -215.156                 -19                      0.221073                 -0.600798                
88.9051                  0                        0                        -6.78718                 -6.975                   -0.643                   -0.621801                -222.715                 -19                      0.187819                 -0.601426                
88.9792                  0                        0                        -7.08107                 -7.2                     -0.643                   -0.618845                -231.328                 -18                      0.118932                 -0.603131                
89.0511                  0                        0                        -7.34669                 -7.425                   -0.643                   -0.629224                -239.238                 -19                      0.0783103                -0.604125                
89.1282                  0                        0                        -7.64003                 -7.65                    -0.643                   -0.620497                -247.852                 -19                      0.00996669               -0.606005                
89.1941                  0                        0                        -7.90217                 -7.875                   -0.643                   -0.528449                -255.234                 -20                      -0.0271728               -0.607037                
89.2695                  0                        0                        -8.18464                 -8.1                     -0.643                   -0.518845                -263.32                  -19                      -0.084638                -0.608633                
89.3392                  0                        0                        -8.46566                 -8.55                    -0.643                   -0.626313                -271.23                  -17                      0.0843354                -0.6038                  
89.4193                  0                        0                        -8.7593                  -8.775                   -0.643                   -0.615919                -278.789                 -17                      0.0156954                -0.605678                
89.4861                  0                        0                        -9.02833                 -9                       -0.643                   -0.624834                -286.348                 -18                      -0.0283336               -0.606901                
89.5601                  0                        0                        -9.31895                 -9.225                   -0.643                   -0.614019                -296.016                 -22                      -0.0939456               -0.608723                
89.6271                  0                        0                        -9.5662                  -9.675                   -0.643                   -0.745637                -303.75                  -19                      0.108805                 -0.602919                
89.7077                  0                        0                        -9.87487                 -9.9                     -0.643                   -0.633453                -312.539                 -19                      0.0251305                -0.605197                
89.7712                  0                        0                        -10.1248                 -10.125                  -0.643                   -0.650695                -320.625                 -21                      0.000219879              -0.605888                
89.8122                  0                        0                        -10.279                  -10.125                  -0.643                   -0.543141                -324.844                 -18                      -0.154017                -0.610173                
89.8883                  0                        0                        -10.577                  -10.35                   -0.643                   -0.540694                -331.875                 -17                      -0.226953                -0.612199                
89.9623                  0                        0                        -10.862                  -10.575                  -0.643                   -0.40815                 -338.906                 -17                      -0.286998                -0.613867                
90.0415                  0                        0                        -11.1634                 -11.025                  -0.643                   -0.506402                -346.992                 -18                      -0.138417                -0.60974                 
90.1092                  0                        0                        -11.4336                 -11.25                   -0.643                   -0.497715                -356.309                 -23                      -0.183599                -0.610995                
90.1903                  0                        0                        -11.7388                 -11.475                  -0.643                   -0.592533                -365.625                 -19                      -0.263762                -0.613221                
90.2662                  0                        0                        -12.0318                 -11.925                  -0.643                   -0.692904                -374.062                 -18                      -0.10679                 -0.608861                
90.3423                  0                        0                        -12.3333                 -12.15                   -0.643                   -0.687372                -382.676                 -17                      -0.183266                -0.610985                
90.4092                  0                        0                        -12.5872                 -12.375                  -0.643                   -0.609347                -389.707                 -19                      -0.212156                -0.611788                
90.4884                  0                        0                        -12.8925                 -12.6                    -0.643                   -0.597028                -397.266                 -19                      -0.292455                -0.614018                
