Time (s)                 thxIncl(deg)             thzIncl(deg)             thySun(deg)              thzSun(deg)              thxEuler(deg)            thyEuler(deg)            thzEuler(deg)            
0.18317                  -2.3048                  -2.35294                 0.39                     17.5                     3.07755                  -17.4572                 -1.29649                 
0.326971                 -2.29453                 -2.45725                 0.4                      17.51                    3.1789                   -17.4645                 -1.33693                 
0.486878                 -2.26571                 -2.40381                 0.41                     17.52                    3.11688                  -17.4754                 -1.32834                 
0.646828                 -2.23057                 -2.38956                 0.42                     17.52                    3.09157                  -17.4755                 -1.33026                 
0.774812                 -0.522604                -0.641383                0.42                     17.51                    0.806184                 -17.503                  -0.643055                
0.934377                 -0.59604                 -0.651874                0.4                      17.47                    0.839375                 -17.4629                 -0.633491                
1.09428                  -0.73916                 -0.717193                0.36                     17.4                     0.948718                 -17.3923                 -0.627178                
1.23814                  -0.610451                -0.650686                0.31                     17.3                     0.840747                 -17.2941                 -0.545956                
1.38208                  -0.43535                 -0.492337                0.26                     17.16                    0.626735                 -17.1564                 -0.433322                
1.54176                  -0.327171                -0.332206                0.21                     16.95                    0.431908                 -16.9481                 -0.326788                
1.68574                  -0.079819                -0.22532                 0.19                     16.69                    0.24925                  -16.6891                 -0.253577                
1.84546                  0.111469                 -0.0818161               0.19                     16.43                    0.0489459                -16.4298                 -0.196086                
1.9734                   0.145028                 -0.0675646               0.23                     16.15                    0.0255674                -16.1499                 -0.228035                
2.1332                   0.205632                 -0.094484                0.28                     15.8                     0.0362964                -15.7998                 -0.279304                
2.29286                  0.134763                 -0.276388                0.37                     15.5                     0.239019                 -15.4984                 -0.420416                
2.43702                  0.0518518                -0.450968                0.49                     15.15                    0.436933                 -15.1461                 -0.587148                
2.58076                  -0.0535638               -0.552708                0.61                     14.82                    0.566873                 -14.8137                 -0.734677                
2.74056                  -0.30131                 -0.66375                 0.7                      14.54                    0.74184                  -14.5303                 -0.863768                
2.88421                  -0.441075                -0.692055                0.74                     14.28                    0.804223                 -14.2689                 -0.915436                
3.02812                  -0.537212                -0.607536                0.75                     14.02                    0.741572                 -14.0097                 -0.907252                
3.18827                  -0.568995                -0.474918                0.7                      13.79                    0.614489                 -13.7822                 -0.826258                
3.33186                  -0.492796                -0.322111                0.65                     13.63                    0.441559                 -13.6249                 -0.735731                
3.47572                  -0.438706                -0.197015                0.55                     13.46                    0.301993                 -13.4571                 -0.60518                 
3.63564                  -0.284136                -0.135655                0.46                     13.34                    0.203023                 -13.3384                 -0.494429                
3.77934                  -0.207344                -0.109527                0.38                     13.24                    0.158308                 -13.239                  -0.406156                
3.9391                   -0.0888998               -0.16871                 0.31                     13.14                    0.189462                 -13.139                  -0.344952                
4.08289                  -0.000855992             -0.279159                0.28                     13.08                    0.279358                 -13.0786                 -0.335954                
4.22679                  0.0109885                -0.4575                  0.27                     13.01                    0.454962                 -13.0076                 -0.365482                
4.38662                  -0.0502079               -0.617037                0.3                      12.97                    0.628596                 -12.9661                 -0.43341                 
4.53044                  -0.130948                -0.682752                0.36                     12.94                    0.712825                 -12.9348                 -0.510452                
4.67413                  -0.226098                -0.695024                0.43                     12.93                    0.746902                 -12.9236                 -0.586186                
4.83419                  -0.373562                -0.661969                0.49                     12.93                    0.747678                 -12.9229                 -0.644834                
4.97804                  -0.420742                -0.602588                0.54                     12.94                    0.6992                   -12.9328                 -0.682819                
5.12165                  -0.418373                -0.416329                0.56                     12.95                    0.512492                 -12.9447                 -0.660586                
5.28313                  -0.442457                -0.320726                0.55                     12.97                    0.422597                 -12.9658                 -0.630803                
5.42565                  -0.376325                -0.339332                0.51                     12.99                    0.426117                 -12.9861                 -0.592718                
5.58544                  -0.286702                -0.287274                0.46                     13.01                    0.353502                 -13.0071                 -0.527765                
5.73043                  -0.222347                -0.23304                 0.42                     13.04                    0.284527                 -13.0379                 -0.473363                
5.8892                   -0.127592                -0.379513                0.36                     13.06                    0.409103                 -13.0572                 -0.443125                
6.04926                  -0.0869257               -0.512328                0.34                     13.07                    0.532502                 -13.0665                 -0.451598                
6.17733                  -0.154637                -0.684335                0.33                     13.09                    0.720276                 -13.0851                 -0.484526                
