Time (s)                 Xb_x                     Xb_y                     Xb_z                     Yb_x                     Yb_y                     Yb_z                     Zb_x                     Zb_y                     Zb_z                     
0.183075                 0.953697                 -0.021584                0.299994                 0.00649171               0.998667                 0.0512148                -0.300699                -0.0468959               0.952565                 
0.326877                 0.953643                 -0.0222562               0.300115                 0.00665779               0.998578                 0.0528975                -0.300866                -0.0484473               0.952435                 
0.486783                 0.95359                  -0.0221118               0.300296                 0.00682386               0.998631                 0.0518635                -0.301032                -0.0474073               0.952435                 
0.646736                 0.953589                 -0.0221438               0.300297                 0.00699029               0.998651                 0.0514427                -0.301031                -0.046956                0.952457                 
0.774719                 0.953641                 -0.0107036               0.300756                 0.00699068               0.999886                 0.0134187                -0.300865                -0.0106941               0.953607                 
0.934285                 0.953853                 -0.0105467               0.300088                 0.00665926               0.99988                  0.0139742                -0.3002                  -0.0113309               0.953809                 
1.09418                  0.954223                 -0.0104456               0.298913                 0.00599564               0.999857                 0.0158005                -0.299035                -0.013285                0.95415                  
1.23804                  0.954748                 -0.00909781              0.297277                 0.00516573               0.999889                 0.0140099                -0.297371                -0.0118403               0.954689                 
1.38198                  0.955476                 -0.0072263               0.294982                 0.00433584               0.999936                 0.0104517                -0.295038                -0.0087073               0.955446                 
1.54167                  0.956554                 -0.00545579              0.291505                 0.00350597               0.999968                 0.00721075               -0.291535                -0.00587546              0.956542                 
1.68564                  0.957868                 -0.00423932              0.287178                 0.00317642               0.999986                 0.00416698               -0.287192                -0.00307922              0.957868                 
1.84537                  0.959161                 -0.00328259              0.282841                 0.00318071               0.999995                 0.000819384              -0.282842                0.000113714              0.959166                 
1.9733                   0.96053                  -0.00382289              0.278151                 0.00385583               0.999992                 0.000428626              -0.278151                0.000660797              0.960537                 
2.1331                   0.962207                 -0.00469058              0.272277                 0.00470227               0.999989                 0.000609558              -0.272277                0.000693801              0.962219                 
2.29274                  0.963612                 -0.00707076              0.267212                 0.00622282               0.999973                 0.00401997               -0.267233                -0.00221087              0.963629                 
2.43687                  0.965212                 -0.00989152              0.261281                 0.0082548                0.999939                 0.00736094               -0.261338                -0.00494805              0.965235                 
2.58067                  0.966683                 -0.012396                0.255676                 0.0102922                0.999901                 0.00956479               -0.25577                 -0.00661465              0.966715                 
2.74046                  0.967905                 -0.0145929               0.250893                 0.0118258                0.999852                 0.0125331                -0.251038                -0.00916382              0.967934                 
2.88411                  0.969026                 -0.0154838               0.246473                 0.0125161                0.999829                 0.0136029                -0.246641                -0.0100966               0.969054                 
3.02802                  0.970133                 -0.0153629               0.242087                 0.0126997                0.99984                  0.0125575                -0.242241                -0.00910803              0.970173                 
3.18817                  0.971108                 -0.0140052               0.238231                 0.0118649                0.999875                 0.0104159                -0.238347                -0.00728834              0.971153                 
3.33177                  0.971779                 -0.0124792               0.235564                 0.011025                 0.999911                 0.00748971               -0.235637                -0.00468125              0.97183                  
3.47562                  0.97249                  -0.0102722               0.232717                 0.00933552               0.999943                 0.00512604               -0.232756                -0.00281249              0.972531                 
3.63554                  0.972988                 -0.00839653              0.230702                 0.00781182               0.999964                 0.00344783               -0.230722                -0.0015525               0.973018                 
3.77924                  0.973399                 -0.0069003               0.229013                 0.00645592               0.999976                 0.00268957               -0.229026                -0.00113953              0.97342                  
3.93901                  0.973804                 -0.00586291              0.227314                 0.00526884               0.999981                 0.00322016               -0.227328                -0.00193812              0.973816                 
4.08279                  0.974044                 -0.00571138              0.226287                 0.00476011               0.999977                 0.00474922               -0.226309                -0.0035488               0.974049                 
4.22669                  0.974321                 -0.00621514              0.22508                  0.00459141               0.99996                  0.00773674               -0.225119                -0.00650464              0.97431                  
4.38653                  0.974475                 -0.00737149              0.224375                 0.00510239               0.99993                  0.0106911                -0.224438                -0.00927339              0.974444                 
4.53034                  0.974587                 -0.00868288              0.223842                 0.00612359               0.999908                 0.0121251                -0.223926                -0.0104463               0.97455                  
4.67404                  0.974618                 -0.00997155              0.223652                 0.00731456               0.999893                 0.0127053                -0.223754                -0.0107469               0.974586                 
4.83404                  0.97461                  -0.0109692               0.223639                 0.00833518               0.999884                 0.0127186                -0.223753                -0.0105316               0.974589                 
4.97794                  0.974564                 -0.0116149               0.223808                 0.00918532               0.999887                 0.0118935                -0.223921                -0.00953522              0.974561                 
5.12156                  0.974522                 -0.0112361               0.224011                 0.00952513               0.999917                 0.00871725               -0.224091                -0.00636141              0.974548                 
5.28301                  0.974445                 -0.0107287               0.22437                  0.00935429               0.99993                  0.0071876                -0.224431                -0.0049051               0.974478                 
5.42555                  0.974373                 -0.0100801               0.224714                 0.00867329               0.999936                 0.00724686               -0.224773                -0.00511214              0.974398                 
5.58534                  0.974301                 -0.00897477              0.225071                 0.00782236               0.999951                 0.00601143               -0.225114                -0.00409635              0.974324                 
5.73034                  0.974188                 -0.00804867              0.225595                 0.0071413                0.999963                 0.0048379                -0.225625                -0.00310199              0.974209                 
5.8891                   0.974116                 -0.00753395              0.225924                 0.00612063               0.999957                 0.00695553               -0.225967                -0.00539269              0.97412                  
6.04917                  0.974078                 -0.00767772              0.226081                 0.00578036               0.999942                 0.00905315               -0.226138                -0.00751165              0.974066                 
6.17723                  0.974                    -0.0082369               0.226397                 0.0056099                0.999909                 0.0122444                -0.226478                -0.010656                0.973958                 
6.33685                  0.973958                 -0.00876545              0.22656                  0.00611964               0.999905                 0.0123779                -0.226647                -0.0106691               0.973919                 
6.4802                   0.973874                 -0.00942163              0.226892                 0.00679904               0.999901                 0.0123375                -0.226986                -0.0104725               0.973842                 
6.63976                  0.973827                 -0.0103326               0.227054                 0.00781856               0.999898                 0.0119689                -0.227154                -0.00988042              0.973809                 
